respondent_id,age_band,response
R0001,65+,"It is on my list, honestly it is, no one told me I was even eligible, I do not trust big pharma, full stop."
R0002,65+,The booking line was engaged every time I rang!
R0003,18-39,"If I am honest, I heard nothing from anybody about it."
R0004,18-39,"Truthfully, my shifts never line up with their opening hours!"
R0005,18-39,"To be fair, my doctor explained it and I was happy, that is about the size of it."
R0006,18-39,"If I am honest, my nurse recommended it twice, make of that what you will."
R0007,40-64,"Put it this way, the staff were perfectly polite."
R0008,65+,"If I am honest, I keep meaning to book it and forgetting, nothing else to add really!"
R0009,65+,"The staff were perfectly polite, hard to explain any better than that."
R0010,65+,I just do not think it is necessary.
R0011,65+,"If I am honest, was made to feel stupid for asking a question."
R0012,65+,"Well, the nearest centre is forty miles away, it is on my list, honestly it is, anyway, that is my reason."
R0013,40-64,"Truthfully, I just do not think it is necessary."
R0014,65+,"Truthfully, I will do it next month, probably."
R0015,40-64,They talked over me like I was not there.
R0016,65+,"My doctor explained it and I was happy, make of that what you will."
R0017,18-39,Childcare makes a weekday appointment impossible!
R0018,18-39,"To be fair, nobody would explain anything to me properly."
R0019,18-39,"No religious reason, I simply forgot."
R0020,18-39,"It is on my list, honestly it is!"
R0021,65+,"Truthfully, they talked over me like I was not there."
R0022,18-39,"Kept putting it off for no good reason, anyway, that is my reason."
R0023,18-39,Nobody ever suggested I should have it.
R0024,18-39,"I would have had to pay for parking twice over, nothing else to add really."
R0025,18-39,"Look, I decided against it deliberately, that is about the size of it!"
R0026,18-39,"The clinic closes at five and I work two jobs, just have not got round to it yet."
R0027,18-39,"Look, I decided against it deliberately, that is about the size of it."
R0028,65+,"I do not trust big pharma, full stop, that is about the size of it."
R0029,65+,"Honestly, I will do it next month, probably!"
R0030,40-64,"If I am honest, just have not got round to it yet!"
R0031,18-39,"If I am honest, no religious reason, I simply forgot."
R0032,18-39,"I will do it next month, probably!"
R0033,18-39,"To be fair, the receptionist was dismissive and rude, I keep meaning to book it and forgetting."
R0034,18-39,"Look, I felt patronised for the whole visit!"
R0035,18-39,"Well, not one person in the surgery mentioned it, nothing else to add really."
R0036,40-64,"I just do not think it is necessary, make of that what you will!"
R0037,40-64,"I will do it next month, probably, anyway, that is my reason!"
R0038,18-39,I decided against it deliberately!
R0039,65+,"If I am honest, I will do it next month, probably, I heard nothing from anybody about it."
R0040,18-39,"If I am honest, the nearest centre is forty miles away, it is complicated."
R0041,40-64,"Look, I heard nothing from anybody about it, I will do it next month, probably, anyway, that is my reason."
R0042,65+,"Look, no religious reason, I simply forgot, it is complicated."
R0043,65+,"If I am honest, my nurse recommended it twice, hard to explain any better than that."
